"time_indes","date","year","month","day","ATC","relative_humidity","Act_VP_kPa","SD_kPa","Corrected_SD_kPa","PAR","wind","rain","Dr..Inv.rel.dist.Earth.Sun.","Delta.Solar.decli.","WS.Sunset.hour.angle.","Ra.Extraterrst.radi.","Rso.Clear.sky.sol.rad.","Rns.sol.radi..MJ.m2.d","Rnl.Net.outgo.longwav.rad.","Delta.Slope.of.the.sat.vp.","ETwind..mm.day.","Etrad.mm.day.","ET0_potential_evp","X30day_run_total_rain","X30day_run_total_ET0","X30day_run_toal_ET0_rain"
4427,"2008/2/13",2008,2,13,-2.42903079237163,0.819212281109582,-1.07721565345814,-0.889550479381155,-0.944039322505601,-0.921088607830219,-0.370645966870182,-0.581225476243637,1.02068083520551,-0.841206863738379,-0.821777163813738,-0.0987952929950235,-0.0987952991349708,-0.916792114149339,-0.989989834871376,-2.23897662227848,-0.686373351910212,-0.963414047758994,-1.02243609896142,0.979624621458298,0.00191878973188927,-0.171762233429332
4428,"2008/2/14",2008,2,14,-2.25608234038424,0.776775883821428,-0.952046729932232,-0.889446126976274,-0.943931447752224,-1.53978320113787,-1.02385800574651,-0.376455539045736,1.00402225722709,-0.821718157211808,-0.802010371942382,-0.0490439483713777,-0.0490439435298707,-1.5371416337356,-1.64408457192836,-2.09038760365774,-0.765863333527862,-1.42901358763845,-1.40380943202855,1.00202143479831,-0.167063015565487,-0.173430520738635
4429,"2008/2/15",2008,2,15,-1.69172423389906,0.751264986029704,-0.534397658468897,-0.847913869833758,-0.900997295908077,-0.545881901568667,-0.746109034298071,1.41528141143589,0.98706797055672,-0.801990750417834,-0.782057051080253,0.000418752824615076,0.000418753997505846,-0.54058178011072,-0.567482532819929,-1.59584786896185,-0.719099324207986,-0.522085543433151,-0.709254765002887,1.05148106425749,-0.156340348440258,-0.174025227104302
4430,"2008/2/16",2008,2,16,-1.90927518139899,0.886668982001161,-0.594780656752753,-0.966040792158704,-1.02311151673113,-1.61980747487248,-0.721734484063692,5.63866136614259,0.969823051918548,-0.782030487210335,-0.761923557030007,0.0495461988106712,0.0495461945248131,-1.61737996163748,-1.69300175479179,-1.78825152501721,-0.758478436821576,-1.53761580820723,-1.4811759235127,1.28384800266006,-0.178403385096906,-0.177095401334341
4431,"2008/2/17",2008,2,17,-2.58377414414983,0.914510202187319,-1.09356938216002,-0.99400723666673,-1.05202195063623,-0.909464768947477,-0.0220618321631092,1.02280569847325,0.952292536080317,-0.761843276299044,-0.741616061368129,0.0982922216612119,0.0982922249269514,-0.905137183208889,-0.9906602637277,-2.37076129289651,-0.71764788413048,-1.00766039998818,-1.06928214735415,1.25025278265005,-0.183972211646898,-0.17674373877557
4432,"2008/2/18",2008,2,18,-1.85465988077139,0.80927774879646,-0.614908322847372,-0.894402866208107,-0.949055498537644,-1.25223285507114,-1.0146824664643,0.49381669404534,0.934481625635352,-0.741435087836081,-0.721140797079822,0.146611213392953,0.146611216546143,-1.24882212829382,-1.31611828176438,-1.74015893571789,-0.766912453303614,-1.15066377470463,-1.19752521425201,1.14200151817335,-0.209723658392103,-0.175616720094178
4433,"2008/2/19",2008,2,19,-1.61708332304134,0.589246255342842,-0.687871112440363,-0.640148231716297,-0.686218661933962,-0.583276422005397,-0.984003781005444,3.11316547403515,0.91639564904618,-0.720811967069821,-0.700503843628487,0.194458119136347,0.194458117638671,-0.578076325645183,-0.628314726278786,-1.52931960474689,-0.701049367111913,-0.500529844336738,-0.685174706895127,1.53394575162348,-0.230333367179522,-0.180122978585571
4434,"2008/2/20",2008,2,20,-0.770546163313567,0.157400721089673,-0.450113056697682,-0.197433154009953,-0.228560020730958,0.297522222016379,-0.0156281599134679,2.81454264895488,0.89803989281892,-0.699980020691028,-0.679711249773169,0.241788512249801,0.241788514562748,0.30507833782755,0.283861893154572,-0.75605938983189,-0.210211999165964,0.217928564732206,0.067902297527264,1.8316367289344,-0.204383329018511,-0.182654023690202
4435,"2008/2/21",2008,2,21,-0.300854577916224,0.108096005165285,-0.18656642877127,-0.0997071268391836,-0.127535314193159,1.18291633722436,0.877875060635703,0.118405142515856,0.879419811285312,-0.67894541000592,-0.658768972159824,0.288558669433877,0.288558666742987,1.19284076483668,1.17282518973625,-0.311877042481337,0.192895000401583,0.897995792862255,0.753244908860014,1.40236447325093,-0.195150336188945,-0.178532628601329
4436,"2008/2/22",2008,2,22,0.465580140891074,-0.219007669885326,0.229824663561152,0.161591294982074,0.142583068263487,1.07307556514635,0.388959148671355,-0.436180104061791,0.860540942689854,-0.657714368003506,-0.637682875321337,0.334725584388423,0.33472558534051,1.0827061832555,1.03894242098257,0.436840169817949,0.179363758288874,1.00440520450546,0.826235021992848,1.40329767380677,-0.184448742565537,-0.178467942312013
4437,"2008/2/23",2008,2,23,0.268965058631719,-0.270152114015849,-0.0519626617635078,0.274657125670305,0.259465363547743,2.07867278942082,0.513401050842268,0.0245522546334853,0.841408867233454,-0.636293175461317,-0.61645879308622,0.380247049755354,0.380247050735193,2.0909932464297,2.04764302992326,0.241901360702326,0.339556695688759,1.89753816609353,1.56124910013782,1.46955491327095,-0.160279116359347,-0.178998899569942
4438,"2008/2/24",2008,2,24,-1.7135703541501,0.588265066966238,-0.752657037682416,-0.682567484300299,-0.730069749181816,-1.20564739226201,-0.683909672716808,1.96133457729696,0.822029207073439,-0.614688171185808,-0.595102436465555,0.425081698090034,0.425081699936879,-1.20211205568657,-1.29245490731293,-1.61526966577401,-0.647025991337977,-1.13136478359983,-1.1295974095119,1.73085106890437,-0.286860509214118,-0.182311395443223
4439,"2008/2/25",2008,2,25,-1.35948115508117,0.418887423454841,-0.619940239371026,-0.531152144818412,-0.573543482031419,-0.668698121701831,-0.824327807990857,0.0757447389329604,0.802407752192696,-0.592905758839288,-0.573619516470414,0.469189049661234,0.469189044067636,-0.663726517366874,-0.732099806351325,-1.29767705005224,-0.630991094991252,-0.582588577991293,-0.714808291089092,1.78124389891939,-0.412028674366209,-0.183526562280244
4440,"2008/2/26",2008,2,26,-1.67624989872124,0.345788889397787,-0.952046729932232,-0.448870273569985,-0.488484238993454,-0.347015138667791,-0.684578947346804,1.2873002006872,0.782550250617739,-0.570952379632194,-0.552015559885702,0.512529560251074,0.512529555772969,-0.341183074961596,-0.418731181307727,-1.58207720549436,-0.55791970886495,-0.318022476537239,-0.485628263096229,1.95575240286028,-0.498665453058999,-0.185416300554912
4441,"2008/2/27",2008,2,27,-0.775097438365869,0.334505223066832,-0.211097021824086,-0.406764078200625,-0.444956776005731,0.028732211262726,-0.786913197223648,0.0757447389329604,0.76246266015704,-0.548834532803884,-0.530296124200701,0.555064668954996,0.555064669221824,0.0355693493448217,-0.0174027281871496,-0.760309909780183,-0.585099437791731,0.128597912231754,-0.166036877245068,2.0117444362103,-0.589679525477662,-0.186359051839823
4442,"2008/2/28",2008,2,28,-0.597597711326174,0.533318517876372,0.142395113962652,-0.641348284372425,-0.687459221597801,-0.461361274653841,-0.966688998642315,0.886292407007983,0.742150854706326,-0.526558768795708,-0.508466674791597,0.596756866467384,0.596756867517807,-0.455835071701206,-0.494591185377154,-0.593779625003006,-0.702674891508667,-0.313290126549252,-0.546823089922566,2.16852212959035,-0.616784147316364,-0.187571039673886
4443,"2008/2/29",2008,2,29,-1.23841723868999,0.0440734635918242,-0.928774116010329,-0.174840858353283,-0.205205136624782,0.703996153799728,0.593152679332787,0.0842768196495396,0.721620875986864,-0.504131679010609,-0.486532554217143,0.63756970191016,0.637569700181431,0.712639533308755,0.661034803706478,-1.18771438964849,0.0501808943979718,0.434472204083573,0.345150465907122,2.19465174515369,-0.61430067816088,-0.187724606959237
4444,"2008/3/1",2008,3,1,-1.0882251619641,0.261161391915626,-0.57339501152722,-0.392676503541732,-0.430393684299802,-0.480914554014733,-0.418401950146042,0.271982595414282,0.700878807676339,-0.481559902640053,-0.464499074331717,0.677467851118392,0.677467844337965,-0.475440653357889,-0.552750167168414,-1.05031029888394,-0.456565096067398,-0.445309035286843,-0.534865852327795,2.28703860018122,-0.754078200939047,-0.189069287248703
4445,"2008/3/2",2008,3,2,-0.558456745876393,0.214922889668128,-0.195372282687666,-0.271001599450843,-0.304611721861923,0.112622087230427,-0.713422524949223,-0.0437043910991482,0.67993081736525,-0.458850123250566,-0.442371485580996,0.716417150783153,0.716417148423059,0.119683619576057,0.0512203636293014,-0.556847544397282,-0.51571308505095,0.222771615842604,-0.0650685631470292,2.33276542741706,-0.704953511557411,-0.189069369103803
4446,"2008/3/3",2008,3,3,-0.00502169951673382,-0.0676593627940427,-0.0305770165379765,0.00474963044639091,-0.0195526860625267,1.19102599225883,-0.472656374184125,-0.257006409013628,0.658783030687667,-0.436009061956801,-0.420154977001911,0.754384653080021,0.754384649664975,1.20097211184136,1.10907965262092,-0.0264341570839857,-0.312450792007931,1.29325835449844,0.820933992256219,2.35516224075707,-0.674445789193056,-0.18903451899842
4447,"2008/3/4",2008,3,4,-0.566649040970533,0.275756569017622,-0.232482667049618,-0.24350474076478,-0.276186724347016,0.740399494176689,-0.367537078266329,0.570605420494553,0.637441783059664,-0.413043480835002,-0.397854645518337,0.791338646154769,0.791338644013566,0.74914024762056,0.66601174178318,-0.564583820520439,-0.373950450327034,0.763686593614637,0.400085467270408,2.48114431579461,-0.692478546954137,-0.189841880168547
4448,"2008/3/5",2008,3,5,-1.80004458014379,0.745132558675923,-0.643841842858386,-0.831269661255288,-0.883791272744404,-1.06922497312657,-0.923013431659012,-0.419115942628632,0.615913325984524,-0.389960179509541,-0.375475588054131,0.827248708751892,0.827248703622528,-1.06532472457716,-1.16276718085449,-1.69192601551674,-0.738591793862155,-0.969400369318192,-1.05022584537878,2.49887512635545,-0.766584052531063,-0.190326421432731
4449,"2008/3/6",2008,3,6,-1.84100605561449,0.741085156622428,-0.662082540256633,-0.847913869833758,-0.900997295908077,-1.07508194620702,-0.349185999701915,1.06546610205615,0.594204078791106,-0.366765988325983,-0.353022778715721,0.862085723871732,0.862085729296124,-1.07119736447011,-1.17188074782573,-1.72811394592783,-0.664998159396587,-1.05696925154921,-1.08237185682232,2.67898283363134,-0.893282632233998,-0.191887123262508
4450,"2008/3/7",2008,3,7,-1.70264729402458,0.739000131322144,-0.590377729794555,-0.835600286057836,-0.888268075009561,-1.56054391802612,-0.103605389501683,2.95958802113672,0.57232046080829,-0.343467771764555,-0.330501130200791,0.895821947056128,0.895821950489193,-1.55795788244156,-1.65654012128187,-1.60556162155577,-0.62637628332069,-1.52877047249182,-1.41555212680033,3.0662610643023,-0.990809070064049,-0.19404791698969
4451,"2008/3/8",2008,3,8,-1.72085239423378,0.679024991802177,-0.626859124591052,-0.798450829920309,-0.849864662807258,-0.1826594633025,0.246770674053444,1.06546610205615,0.550268933321335,-0.32007243185361,-0.307915616615778,0.928431006388414,0.92843100397724,-0.17638777005693,-0.273076581017918,-1.62173852393303,-0.551789925323297,-0.324606554138318,-0.487778598878364,3.24450237046652,-1.0235460885358,-0.194878454126433
4452,"2008/3/9",2008,3,9,-1.41955798577153,0.573915186958393,-0.50798009671971,-0.669523433690212,-0.716585405009659,-0.0140687458636518,0.960994651780397,-0.487372588361266,0.528056041528314,-0.296586891102296,-0.285270997136568,0.959887943464796,0.959887942597565,-0.00734609466024725,-0.103341004074358,-1.35198352339744,-0.323812743892159,-0.268816126427267,-0.344425810423762,3.15491511710649,-0.998797953599102,-0.194430583650452
4453,"2008/3/10",2008,3,10,-0.405533904119119,-0.756453603170583,-0.989786103859642,0.517276467017919,0.510274165149861,2.67887736924988,1.40811328362627,-0.564161314810478,0.505688372583674,-0.273018102740958,-0.262572123052146,0.990169247537201,0.990169243990387,2.69280329325583,2.64344068287444,-0.411823564946792,1.10659932138411,2.10314508101018,2.05686136520903,2.91134977203392,-0.846573937504672,-0.192721980924961
4454,"2008/3/11",2008,3,11,-1.23932749370045,0.355232827522607,-0.599812573276407,-0.441461252823456,-0.480825131503669,0.00521421166275854,-0.258143060518234,-0.504436749794424,0.483172471685487,-0.249373043894201,-0.239823722834037,1.0192528828275,1.01925288052781,0.0119884423300226,-0.0914641195236331,-1.18854368978016,-0.430265589148749,-0.0145843681954995,-0.203174688955006,2.88615335702641,-0.79425115195391,-0.19235934859649
4455,"2008/3/12",2008,3,12,-0.243508512257243,-0.553102312119247,-0.733787350718712,0.417254686939773,0.406876214037762,1.81492878624418,1.31635789080421,-0.402051781195474,0.460515135770188,-0.225658708753961,-0.217030555658148,1.04711830901325,1.04711831057272,1.82654376290571,1.72855958956618,-0.25689047960177,0.930788453135347,1.40716256317321,1.46130538467103,2.50074152746712,-0.61291184374174,-0.189532293207188
4456,"2008/3/13",2008,3,13,0.311747044123338,-0.36814830312925,-0.231853677484161,0.477466024555934,0.469119946736438,1.88584321415672,0.653560112065996,-0.427648023345211,0.437722951992259,-0.201882125646836,-0.194197227178572,1.07374650171333,1.07374650470212,1.89764787746197,1.75575713945343,0.2841485733183,0.585538222119907,1.73198756022475,1.54824225955124,2.25624298183871,-0.442012631851543,-0.187156669583867
